"Field_Name__c","Prompt__c"
"Notes__c","What additional details are included in this document that may be helpful for preparing for this deposition?"
"Business_Unit__c",""
"Case_Name__c","This is the name of the case filed with the court, for example ""John Smith vs. XYZ Corporation""?"
"Case_Number__c","What is the case number for this case docket? It could be something like 202316377 or 09-23-00264-CV or 1:23-cv-07179 or 2018CCV-60562-3 or 22-001846-CV-272 or 3:21-cv-02171 or CC-23-06372-A or D-1-GN-21-004958 or DC-23-04465."
"Connection_Method__c","Include any remote video solution mentioned in the deposition notice. The only acceptable values are Zoom, Teams, Google Hangouts, Skype, WebEx. Unless one of those products are explicitly mentioned, leave this blank."
"Deponent_Name__c","The name of the person being deposed. It may be a normal name (such as John B. Smith) or it may be PMK (the person most knowledgeable about a specific topic) or Corporate Representative. It should be formatted with capital letters at the beginning of every name. So if the deposition notice shows JOHN A. SMITH, it should be changed to John A. Smith."
"Deposition_Date__c","Date when the Deposition is scheduled to occur, format should be YYYY-MM-DD. This will always be in the future."
"Event_Location__c","Location where the deponent will be deposed. This may be an office or a home. Some attendees may not be in the same location. This field is where the deponent will be located."
"Deposition_Services__c","The deposition notice may mention additional services. The only acceptable values are Advanced Video Services, Conference Room, Conference Room Coverage, Digital Reporter, Document Technician, Exhibit Handling, Expedite, Expedited Exhibits, Interpreter, LegalView (Remote Video), LegalView Exhibit Manager, Onsite Video Technician, Picture in Picture (PIP), Process Serving, Realtime - Internet, Realtime - Local, Rough Draft, Synchronized Video, Teleconference, Traditional Video, Transcriptionist, Trial Document Technician. ""Court Reporter"" should be selected by default. If the deposition notice requests a service with a slightly different name, select one of those values closes to the additional service requested on the deposition notice, for example ""real time"" should be considered the same as ""Realtime - Internet""."
"Deposition_Time__c","Time when the Deposition is scheduled to occur, format should be hh:mm A example 12:15 AM"
"Estimated_Duration__c","If the deposition notice provides an estimate of how hours the deposition will last, include it here. Skip any entry that says that the deposition will continue until completed."
"Event_Type__c","Options include Deposition, Mediation, Arbitration, Examination Under Oath, Hearing. If this is not clear, just leave it blank."
"Hiring_Attorney__c","Name of the attorney noticing the deposition or the attorney who will be conducting the deposition. If it's not clear, it will probably be the person who created, authored or signed this document."
"Hiring_Firm__c","The name of the law firm noticing the deposition. If it's not clear, it will probably be the law firm of the person who signs this document."
"Hiring_Attorney_Email__c","What is the Email address of the Hiring Attorney?"
"Jurisdiction_Detailed__c","What is the jurisdiction of this case? It could be something like Georgia State, Wheeler County, Superior Court or Hawaii District Court or Idaho State, or Texas State, Harris County, 189th District Court or Ada County, District Court or Illinois Central District Court or Illinois Northern Bankruptcy Court."
"GuestName__c","Name of any person besides the hiring attorney who created the deposition notice"
"GuestEmail__c","The email address of the Scheduler - anyone besides the hiring attorney who created the deposition notice."
"Start_Time_Deposition__c","Time when the Deposition is scheduled to occur, format should be HH:mm:ss.SSS

For example 09:12:00.000"
"Stop_Time_deposition__c","If the document includes a specific time when the deposition will end, please include it in this field - for example, 1 PM. Also, if the document estimates how long the deposition will last, please calculate the stop time based on the start time and the estimated duration. For example, if the deposition begins at 9 AM and is estimated to last 3 hours, then the stop time field would be 13:00:00.000.format should be HH:mm:ss.SSS
For example 09:12:00.000"
"Time_Zone__c","Time zone of the deposition. If there are multiple time zones, select the one where the deponent is located. The only valid time zones are Eastern, Central, Mountain, Pacific, Hawaii, Alaska. This may be abbreviated - MST and MDT are abbreviations for Mountain time. If there is no timezone listed, use the time zone from the location of the deposition, for example if the deposition takes place in New York, use Eastern."
